Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Сірченко,Ярослав,Миколайович,male,1943-11-04,Дипломат,село Рівне,"набережна Соляний 3-й, буд. 393 кв. 892, Почаїв, 23173",362-76-22,emiliia46@example.org
Артеменко,Галина,Геннадіївна,female,2007-07-20,Публіцист,селище Жашків,"набережна Морехідний, буд. 566, Баранівка, 80905",+380 (12) 550-53-35,ada72@example.org
Гайворонський,Богданна,Дмитрівна,female,1996-07-31,Золотар,хутір Тетіїв,"парк Офіцерський 2-й, буд. 4 кв. 45, Мирноград, 54782",007 008 36 56,darynaparasiuk@example.org
Ніколюк,Владислав,Васильович,male,1970-03-17,Архітектор,хутір Косів,"узвіз Венгера, буд. 50, Тальне, 32909",+380 00 833-35-73,snizhananesterenko@example.org
Василашко,Теодор,Борисович,male,1971-12-16,Головний меркшейдер,місто Білогірськ,"площа Сирітський, буд. 714, Чистякове, 34591",+380 38 114-21-99,flukash@example.net
Василечко,Вікторія,Сергіївна,female,1983-05-23,Петрограф,місто Антрацит,"парк Кладовищний, буд. 0, П'ятихатки, 36743",+380 84 131 77 79,terezavdovenko@example.com
Пустовіт,Пріска,Борисівна,female,1963-03-13,Електрик,село Монастирище,"набережна Скидановська, буд. 082, Новояворівськ, 19498",+380 (62) 361-66-12,tsymbalroman@example.org
Лазаренко,Вʼячеслав,Володимирович,male,2005-07-15,Вчитель,селище Верхньодніпровськ,"узвіз Український 1-й, буд. 94, Лозова, 35357",207 62 89,tshcherban@example.net
Петлюра,Амалія,Василівна,female,1953-11-26,Парфюмер,селище Ясинувата,"набережна Куликове поле, буд. 598 кв. 669, Новгород-Сіверський, 39660",+380 03 895-21-60,kzabara@example.com
Петрик,Марко,Анатолійович,male,1949-05-01,Актор,хутір Мала Виска,"шосе 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 0, Гірське, 99047",428-51-27,iaroslava57@example.com
Оніщук,Альбіна,Леонідівна,female,1946-12-15,Скульптор,місто Соснівка,"вулиця Каретний, буд. 823, Джанкой, 51096",087 670 21 38,labaalbina@example.com
Медведенко,Хома,Ульянович,male,1959-08-23,Намотувальник,селище Гнівань,"парк Миколи Куліша, буд. 0 кв. 8, Світлодарськ, 63946",+380 (11) 425-47-89,feofan67@example.org
Гайдабура,Климент,Борисович,male,1959-10-11,Програміст,селище Білопілля,"площа Миколи Леонтовича, буд. 8, Знам'янка, 91580",044 256-29-18,jriabovil@example.org
Шаблій,Богдан,Анатолійович,male,1986-10-08,Фізик,хутір Нікополь,"площа Мостовий, буд. 1, Южноукраїнськ, 66333",+380 (92) 972-69-09,qpylypenko@example.com
Дергач,Людмила,Ігорівна,female,1955-06-26,Кур'єр,хутір Перещепине,"набережна Дачна, буд. 62, Тетіїв, 65276",+380 04 203-48-04,xishchenko@example.com
Годунок,Станіслав,Сергійович,male,1942-04-14,Промисловець,село Родинське,"парк Чорноморський 6-й, буд. 1 кв. 476, Бахмут, 28275",407-13-90,romanadamchuk@example.org
Шморгун,Леонтій,Сергійович,male,2009-05-02,Гірничий інженер,місто Городище,"сквер Онілової, буд. 01 кв. 569, Біла Церква, 87286",449-32-27,kolisnychenkorostyslav@example.org
Скоробогатько,Дарина,Олександрівна,female,2006-12-30,Няня,село Носівка,"площа 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 7, Чугуїв, 94049",407-94-30,holoborodkoonysym@example.net
Балабан,Валентина,Володимирівна,female,1964-06-25,Ді-джей,селище Житомир,"проспект Радісний, буд. 58, Славута, 77502",+380 (73) 004-34-25,snizhana61@example.net
Токар,Руслан,Артемович,male,1945-02-11,Публіцист,селище Зоринськ,"провулок Лиманна, буд. 1, Молочанськ, 45475",+380 57 836-96-14,mykolaiskoryk@example.net
Артюшенко,Одарка,Олександрівна,female,1957-10-14,Астронавт,село Олевськ,"узвіз Сосюри, буд. 614, Тетіїв, 46568",094 606 49 88,artemlupii@example.org
Данчук,Мирон,Артемович,male,1983-04-09,Драматург,селище Рава-Руська,"провулок Дур'янівський, буд. 41 кв. 6, Вознесенівка, 78123",+380 (06) 107-52-25,solomonzaporozhets@example.net
Абрамчук,Богодар,Ульянович,male,1946-07-24,Ріелтор,місто Прип'ять,"провулок Деревообробний 2-й, буд. 0 кв. 3, Сміла, 88595",+380 99 778-49-94,nazarenkovitalii@example.com
Мірошниченко,Ганна,Борисівна,female,1979-01-04,Фотограф,хутір Енергодар,"сквер Джутовий, буд. 34 кв. 3, Єнакієве, 75097",+380 89 946 79 58,bohuslav24@example.net
Полтавець,Орися,Борисівна,female,1965-05-14,Архітектор,село Севастополь,"площа Угорська, буд. 77 кв. 59, Кагарлик, 63930",317 26 11,fgerus@example.com
Дейнеко,Олесь,Сергійович,male,1954-01-02,Агроном,місто Попасна,"парк Владислава Домбровського, буд. 89, Любомль, 06179",+380 12 928-60-88,omelianderkach@example.net
Джус,Христина,Василівна,female,1960-06-15,Водій,селище Миргород,"провулок Марка Крейна, буд. 4 кв. 0, Родинське, 88320",+380 43 919 76 73,eduardzhalilo@example.com
Вишняк,Мілена,Миколаївна,female,2004-11-13,Музичний редактор,місто Немирів,"сквер Глаубермана, буд. 0, Торецьк, 25633",+380 61 357-82-17,olha06@example.com
Ісаєнко,Панас,Зіновійович,male,2003-08-10,Стоматолог,село Мирноград,"набережна Миргородський, буд. 1, Рогатин, 08928",073 089-25-59,shtepalukian@example.com
Смик,Аліна,Борисівна,female,1983-10-12,Редактор,хутір Васильків,"сквер Ірини Жиленко, буд. 54, Болград, 29963",+380 85 456-62-50,veresvarvara@example.com
Асаула,Демид,Ігоревич,male,1956-02-15,Няня,хутір Вижниця,"площа Лінія 23-тя, буд. 067 кв. 8, Голубівка, 05744",+380 55 123 78 39,fedir23@example.net
Рябовіл,Одарка,Тарасівна,female,1957-02-22,Золотар,селище Сокаль,"проспект Богуна, буд. 3 кв. 2, Петрово-Красносілля, 62312",+380 92 299 84 36,solomiia54@example.net
Міщенко,Богодар,Анатолійович,male,1951-09-08,Ботанік,місто Бобровиця,"вулиця Пастера, буд. 09, Борщів, 62202",081 889 26 06,kdziuba@example.net
Михалюк,Олег,Сергійович,male,1991-01-31,Гицель,селище Гуляйполе,"шосе Партизанської слави, буд. 87, Гірське, 94701",019 987 68 55,yustenko@example.org
Бевз,Христина,Анатоліївна,female,1966-07-24,Машиніст,село Суходільськ,"провулок Маловського, буд. 5 кв. 5, Новоселиця, 76159",+380 (23) 819-61-50,ldzyndra@example.org
Бабій,Омелян,Леонідович,male,1968-08-21,Фотограф,хутір Кам'янка (Черкаська область),"провулок Деволанівська, буд. 4 кв. 733, Новодружеськ, 63163",098 723 38 39,asaulamarta@example.org
Давиденко,Наталія,Ульянівна,female,1981-10-15,Геофізик,місто Покровськ,"провулок Базарна, буд. 11, Снятин, 27551",+380 18 080-95-28,jruban@example.net
Джус,Аарон,Геннадійович,male,1957-12-24,Штукатур,хутір Малин,"сквер Пляжна, буд. 21, Горішні Плавні, 62484",011 570-60-77,marusiatryhub@example.com
Дурдинець,Ярина,Федорівна,female,1950-11-18,Біолог,місто Бровари,"вулиця Пересипська 5-та, буд. 843, Вижниця, 07888",+380 (36) 953-16-31,ievhenzatovkaniuk@example.net
Терещенко,Гліб,Володимирович,male,1988-01-12,Ветеринар,селище Дергачі,"площа Чорноморського козацтва, буд. 332 кв. 106, Угнів, 25387",453-39-29,kozakvenedykt@example.org
Дробʼязко,Болеслав,Анатолійович,male,1943-03-22,Ботанік,місто Вилкове,"парк Генуезька, буд. 5 кв. 76, Заліщики, 10631",085 823-82-93,mykolaikorolenko@example.org
Гайдабура,Дарина,Русланівна,female,1982-09-08,Бухгалтер,хутір Хоростків,"парк Ткачова, буд. 93, Семенівка, 30957",+380 86 758-89-39,makar95@example.org
Лавренко,Ярослава,Тарасівна,female,1986-01-05,Випробувач,село Єнакієве,"проспект Цукровий, буд. 9, Рудки, 32645",+380 29 213-55-75,violettavitruk@example.net
Іщак,Ліза,Дмитрівна,female,1945-07-11,Етнограф,село Умань,"проспект Бахчисарайська, буд. 1, Зеленодольськ, 56923",320-39-62,lkanivets@example.net
Масоха,Світлана,Зіновіївна,female,2002-06-07,Медик,хутір Чернігів,"парк Аркаса Миколи, буд. 32 кв. 69, Південне, 13831",036 291 47 50,ievahaida@example.net
Гунько,Богуслав,Леонідович,male,1977-08-16,Гінеколог,село Сокологірськ,"парк Олександрійський, буд. 29, Дубровиця, 50713",+380 (31) 357-90-96,arkadiirudko@example.com
Твердохліб,Марко,Ігоревич,male,1939-01-15,Зоолог,місто Гірське,"парк Магістральна, буд. 463 кв. 218, Торецьк, 04347",250 14 27,upustovit@example.org
Тиха,Максим,Ігоревич,male,1955-06-25,Водій,хутір Ічня,"проспект Яблунева, буд. 54 кв. 03, Лиман, 72233",+380 52 248-68-33,kharchenkoiaryna@example.com
Фаренюк,Богуслав,Володимирович,male,1979-03-13,Біолог,місто Роздільна,"провулок Колективний, буд. 3 кв. 828, Золотоноша, 36721",062-78-52,olenamakarenko@example.net
Іваничук,Едита,Євгенівна,female,1985-11-15,Пекар,хутір Жидачів,"площа Керченський 1-й, буд. 083 кв. 8, Молочанськ, 72207",473 05 77,bshovkoplias@example.net
Височан,Орхип,Федорович,male,1975-05-30,Астрофізик,місто Кам'янське,"парк Кредитний, буд. 90 кв. 896, Андрушівка, 48174",019 369-22-30,bhavryliv@example.net
Бандура,Варвара,Геннадіївна,female,1950-06-01,Кінокритик,селище Красноперекопськ,"сквер Шкіперська, буд. 736 кв. 303, Заліщики, 65758",+380 79 666 88 02,okhrimenkovolodymyr@example.net
Талан,Руслан,Федорович,male,1956-01-20,Будник,селище Моспине,"узвіз Шухевича Романа, буд. 2 кв. 45, Вільнянськ, 78747",+380 67 173-87-88,tiahnyboknadiia@example.net
Стус,Ростислав,Володимирович,male,1995-10-17,Акушер,місто Севастополь,"парк Цукровий, буд. 87, Токмак, 84653",+380 04 754-36-91,ihor58@example.org
Заїка,Едита,Зіновіївна,female,1994-07-07,Музикознавець,місто Щастя,"узвіз Парковий, буд. 192 кв. 01, Борислав, 24573",071 627 52 90,demydievtushok@example.org
Івасюк,Семен,Володимирович,male,1965-01-14,Електрослюсар,селище Борзна,"сквер Хаджибейський 3-й, буд. 98 кв. 57, Дрогобич, 69633",+380 17 211 32 81,arkadii13@example.org
Фесенко,Орест,Федорович,male,1939-07-20,Електромонтер,селище Охтирка,"площа Уманська, буд. 128, Чуднів, 91911",+380 41 052-23-24,larysa75@example.net
Ейбоженко,Варвара,Русланівна,female,1986-09-30,Продюсер,місто Зіньків,"проспект Миргородський, буд. 139, Щолкіне, 39832",+380 67 094 80 49,oleksahaidai@example.org
Сірченко,Наталія,Артемівна,female,1992-02-29,Ветеринар,хутір Барвінкове,"набережна Танфільєва, буд. 7 кв. 4, Камінь-Каширський, 99533",+380 (89) 528-26-54,ruslanshovkoplias@example.net
Фастенко,Камілла,Ярославівна,female,1956-04-15,Стиліст,село Луцьк,"площа Любашівський, буд. 77, Залізне, 23678",036 247 22 36,ihabelko@example.com
Ґалаґан,Євген,Ульянович,male,1998-05-24,Швачка,хутір Краматорськ,"проспект Бондарна, буд. 8, Хмельницький, 09479",428 63 98,fastenkoirena@example.com
Адамчук,Вʼячеслав,Леонідович,male,1962-11-21,Головний меркшейдер,місто Пологи,"шосе Бориса Едуардса, буд. 525 кв. 54, Залізне, 72903",+380 33 278 54 20,frants73@example.com
Саєнко,Семен,Русланович,male,2003-11-18,Акушер,місто Любомль,"парк Литовська, буд. 4 кв. 19, Золоте, 62397",036 005-88-44,leopoldchalenko@example.net
Чабан,Віра,Ігорівна,female,1953-02-27,Співак,хутір Хрустальний,"сквер Лугова, буд. 5 кв. 372, Трускавець, 26057",021 177-24-58,hanna44@example.org
Каденюк,Демʼян,Олександрович,male,1950-02-26,Електрослюсар,селище Щастя,"площа Генерала Алмазова, буд. 94 кв. 680, Таврійськ, 27720",+380 68 219-86-27,zynovii61@example.org
Забіла,Сніжана,Миколаївна,female,1940-05-03,Кухар,село Джанкой,"площа Кавказький, буд. 7 кв. 3, Перемишляни, 15143",+380 12 501-56-58,andriishynolena@example.net
Їжакевич,Франц,Петрович,male,1961-11-25,Слідчий,хутір Скалат,"площа Лінія 27-ма, буд. 286 кв. 5, Арциз, 21544",+380 75 069 53 82,vshvachko@example.net
Артюшенко,Веніямин,Ульянович,male,1976-11-10,Кінорежисер,селище Біла Церква,"сквер Змієнка Всеволода, буд. 78 кв. 19, Борщів, 03170",+380 18 174-81-04,tdeineko@example.net
Заїка,Антон,Русланович,male,1979-06-29,Палеонтолог,селище Токмак,"набережна Пішонівська, буд. 013 кв. 10, Кальміуське, 06917",747 70 08,eshovkoplias@example.com
Чумак,Роксолана,Русланівна,female,1939-08-21,Журналіст,хутір Карлівка,"вулиця Мирна, буд. 18 кв. 2, Тараща, 26539",394 76 97,bsyrotenko@example.org
Баран,Ярослава,Анатоліївна,female,1950-10-12,Піаніст,місто Тернівка,"площа Задніпровського, буд. 52 кв. 8, Дубровиця, 87390",+380 40 055 05 86,schalenko@example.org
Жученко,Амвросій,Васильович,male,2000-09-23,Бібліограф,місто Золочів,"сквер Госпітальєрів, буд. 228 кв. 9, Боярка, 82802",+380 (59) 910-93-26,nalyvaikofedir@example.net
Гаврилишин,Павло,Тарасович,male,1943-12-28,Математик,місто Краматорськ,"узвіз Бригадна, буд. 279 кв. 0, Алчевськ, 63846",+380 38 269-46-40,iarynaabramenko@example.net
Їжак,Святослава,Сергіївна,female,1958-11-22,Кінорежисер,місто Підгородне,"провулок Гоголя, буд. 2, Чистякове, 13979",076 627-24-87,anzhelamazur@example.net
Бандурка,Теодор,Русланович,male,1981-08-23,Геолог,місто Березань,"площа Деревообробний 1-й, буд. 38, Заставна, 02070",+380 (81) 697-30-95,oksanakozak@example.com
Ткач,Анастасія,Тарасівна,female,1994-03-08,Пілот,хутір Кремінна,"площа Учнівська, буд. 862 кв. 0, Бориспіль, 07855",009 399-39-22,mvdovychenko@example.com
Дашенко,Трохим,Тарасович,male,1998-10-15,Музикант,місто Новоукраїнка,"узвіз Цегляна, буд. 7, Добромиль, 37083",055 00 80,kdakhno@example.org
Байрак,Маруся,Володимирівна,female,1943-01-06,Стиліст,селище Горішні Плавні,"узвіз Кришталева, буд. 520, Світлодарськ, 18109",094 969-79-41,vasyl44@example.net
Оніщук,Юхим,Ярославович,male,1954-10-16,Пекар,місто Святогірськ,"шосе Профспілкова, буд. 18, Гірник, 48962",004 038 30 47,zatovkaniukirena@example.com
Корж,Ганна,Борисівна,female,1992-12-28,Клавішник,місто Часів Яр,"вулиця Літня, буд. 2, Білозерське, 67737",+380 99 483 82 82,veniiamynivanychuk@example.net
Наливайко,Ярослава,Ярославівна,female,1971-02-17,Державний службовець,селище Білогірськ,"провулок Заводська 5-та, буд. 07 кв. 2, Дніпро, 85438",+380 (13) 473-92-56,myroslavilchenko@example.org
Симоненко,Ігнат,Сергійович,male,1973-08-22,Шериф,місто Балта,"сквер Іони Отаманського, буд. 0, Олександрівськ, 73270",752-62-07,boleslav99@example.org
Ващенко,Амалія,Артемівна,female,1973-12-28,Психолог,село Євпаторія,"вулиця Світанку, буд. 1 кв. 010, Южноукраїнськ, 41769",082 091-75-42,andriienkosviatoslava@example.com
Жук,Пантелеймон,Васильович,male,1948-01-10,Електромонтажник,село Докучаєвськ,"площа Кортацці, буд. 59, Болехів, 18169",089 956-86-43,orysianalyvaiko@example.org
Рудько,Руслан,Олександрович,male,1995-09-28,Ювелір,місто Житомир,"проспект Халайджогло, буд. 8, Помічна, 26164",+380 77 475 49 98,bashtanklyment@example.net
Хоменко,Орест,Ульянович,male,1987-11-30,Економіст,селище Сокаль,"шосе Прорізна, буд. 509 кв. 184, Андрушівка, 09969",006 267-22-25,azhurba@example.com
Баклан,Лілія,Борисівна,female,1997-10-23,Футболіст,хутір Бердичів,"шосе Ігоря Бедзая, буд. 638, Болград, 29143",093 665 43 05,oksanatovstolis@example.net
Пушкар,Тимофій,Сергійович,male,1980-08-27,Піаніст,село Донецьк,"площа Садовського, буд. 66, Зугрес, 81270",+380 (69) 294-08-16,haidaistanislav@example.net
Гаврюшенко,Марко,Володимирович,male,1958-09-13,Редактор,місто Кагарлик,"набережна Прилуцький, буд. 4 кв. 008, Красногорівка, 48420",+380 (34) 374-04-41,venedykt95@example.com
Гайдай,Маруся,Петрівна,female,1996-02-01,Драматург,хутір Бучач,"сквер Рачкова, буд. 8, Шахтарськ, 58685",020 207-89-68,zhalilomartyn@example.net
Малишко,Святослава,Євгенівна,female,1942-07-13,Бізнесмен,село Сквира,"провулок Шевченка парк, буд. 715 кв. 4, Курахове, 24266",+380 14 176-54-67,petrykhanna@example.org
Корсун,Єва,Петрівна,female,1945-08-23,Няня,село Волноваха,"шосе Яна Длугоша, буд. 67 кв. 5, Берестин, 97098",081 489-35-38,aaronhrytsenko@example.org
Лаба,Галина,Русланівна,female,1947-06-01,Живописець,селище Тиврів,"провулок Лютневий 2-й, буд. 326, Яворів, 39374",097 939-41-44,obabko@example.com
Кириленко,Болеслав,Тарасович,male,1946-05-24,Сценарист,хутір Мирноград,"парк Михайла Грушевського, буд. 7, Вільнянськ, 54457",+380 43 526-58-07,myroslavcherednyk@example.com
Вакуленко,Емілія,Ульянівна,female,2000-02-14,Інженер,селище Скадовськ,"шосе Станційна 1-ша, буд. 1, Мала Виска, 17505",085 237 06 76,mbazylevych@example.net
Щириця,Тарас,Геннадійович,male,1984-03-14,Зоолог,село Рені,"проспект 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 38, Лозова, 85284",001 388-95-67,fivasiuk@example.com
Дергач,Марія,Олександрівна,female,1939-05-21,Живописець,хутір Бар,"вулиця Балтський 5-й, буд. 04, Південне, 23533",+380 (47) 556-86-14,skorykirena@example.org
Тичина,Прохір,Олександрович,male,1957-04-06,Електромонтажник,хутір Виноградів,"набережна Локомотивний 1-й, буд. 5, Борзна, 18770",+380 (27) 240-74-79,solomiia42@example.com
Іваненко,Павло,Леонідович,male,2009-07-30,Детектив,селище Яготин,"проспект Західний 3-й, буд. 08 кв. 701, Бобровиця, 32034",+380 (72) 159-36-50,redkokyrylo@example.org
Ляшко,Анжела,Ульянівна,female,1939-10-10,Електротехнік,село Буринь,"набережна Історія Футболу, буд. 59, Богуслав, 52445",+380 16 868-37-50,zynoviidrobakha@example.com
Зінкевич,Оксенія,Борисівна,female,1985-08-10,Стиліст,місто Саки,"шосе Лінія 52-га, буд. 6, Вугледар, 38298",820-19-24,bohdanpelekh@example.org
Балабан,Тетяна,Петрівна,female,1992-02-09,Філолог,місто Корсунь-Шевченківський,"сквер Калинова, буд. 9 кв. 5, Радивилів, 53725",+380 65 367 79 90,xromanets@example.com
Тимченко,Станіслав,Зіновійович,male,1991-02-25,Режисер,село Куп'янськ,"парк Республіканська, буд. 17, Харків, 57013",009 459-33-00,maksymdankiv@example.org
Андрієвич,Леон,Володимирович,male,1956-01-31,Музикознавець,село Ржищів,"провулок Пiвденний, буд. 31 кв. 374, Баранівка, 22166",+380 80 176-10-90,biurchuk@example.org
Юхименко,Вікторія,Олександрівна,female,1970-09-01,Ді-джей,селище Василівка,"шосе Кафедральна, буд. 48, Ланівці, 49661",091 167-75-15,rmakarenko@example.org
Москаль,Климент,Тарасович,male,1991-11-19,Скульптор,хутір Інкерман,"парк Аеродромний 3-й, буд. 49 кв. 958, Сокаль, 61225",+380 16 991-90-28,anita38@example.org
Василенко,Костянтин,Геннадійович,male,1941-03-05,Медик,село Снятин,"провулок Гілельса, буд. 3 кв. 3, Новоазовськ, 60066",679 00 69,les72@example.net
Слюсар,Леонтій,Леонідович,male,1992-07-30,Локсмайстер,місто Герца,"парк Рекордний, буд. 912, Луганськ, 71044",+380 (11) 694-64-11,romanetsmarko@example.com
Девдюк,Едита,Федорівна,female,1963-03-04,Дизайнер,селище Буринь,"вулиця Професора Каришковського, буд. 399 кв. 0, Деражня, 56297",072 194 98 09,ugereta@example.com
Корпанюк,Кирило,Зіновійович,male,2000-07-20,Доцент,селище Любомль,"сквер Басейний 3-й, буд. 897 кв. 36, Могилів-Подільський, 28067",+380 48 186-81-00,ntereshchuk@example.org
Засядько,Богданна,Ігорівна,female,2003-07-24,Будник,село Златопіль,"набережна Романтичний, буд. 6 кв. 1, Решетилівка, 29625",+380 35 982-71-33,artymovychillia@example.org
Верхола,Данило,Ульянович,male,1960-08-23,Модельєр,село Кодима,"парк Станційна 1-ша, буд. 26, Устилуг, 26628",+380 99 707 78 02,oksana34@example.org
Гайворонська,Світлана,Володимирівна,female,1944-10-11,Електрослюсар,місто Скалат,"проспект Болградська, буд. 48 кв. 45, Моспине, 52516",055 309-70-55,vieshchenko@example.org
Чуйко,Павло,Ярославович,male,1990-01-04,Дерун,село Виноградів,"шосе Мирна, буд. 933 кв. 25, Зугрес, 51738",012 504 77 32,orysiapustovit@example.org
Остапчук,Владислав,Ігоревич,male,1984-11-18,Єгер,селище Балаклія,"площа Перший Кришталевий, буд. 8, Остер, 48168",129 93 17,rubetsoleksandr@example.com
Карпа,Наталія,Петрівна,female,1981-01-01,Правник,місто Хмельницький,"провулок Кордонна, буд. 23 кв. 47, Зборів, 97401",033 300 25 72,ofranko@example.org
Давиденко,Болеслав,Олександрович,male,1958-02-25,Провізор,селище Дніпрорудне,"сквер Керченський 3-й, буд. 780, Корюківка, 93327",009 962-75-86,illiapushkar@example.net
Данченко,Христина,Анатоліївна,female,1989-03-31,Головний меркшейдер,селище Біляївка,"узвіз Пассіонарії, буд. 37 кв. 85, Самар, 96966",048 124-40-89,khoma24@example.net
Авраменко,Арсен,Федорович,male,1947-10-19,Біолог,селище Тисмениця,"парк Український 2-й, буд. 688, Новояворівськ, 38334",+380 74 902-92-99,semen02@example.net
Величко,Демид,Геннадійович,male,1978-01-07,Ветеринар,селище Лиман,"узвіз Мукачівський, буд. 123 кв. 488, Немирів, 70439",034 626 61 92,valeriikhmara@example.org
Семенченко,Віталій,Дмитрович,male,1977-12-03,Палеонтолог,місто Бучач,"провулок Дзвінка, буд. 393 кв. 7, Калинівка, 57529",+380 (68) 305-96-83,orysiafesenko@example.com
Литвиненко,Франц,Миколайович,male,1976-07-07,Зоолог,село Краматорськ,"провулок Кременецький, буд. 4, Горохів, 22815",065 782 98 28,rudkooleh@example.org
Дзиндра,Василина,Дмитрівна,female,1989-10-23,Режисер,село Авдіївка,"сквер Савранська, буд. 12 кв. 827, Енергодар, 17422",037 535 15 56,pavlo84@example.org
Штепа,Марія,Олександрівна,female,1993-11-26,Футболіст,хутір Перемишляни,"набережна Бреуса Якова, буд. 99 кв. 8, Переяслав, 12959",+380 25 113 01 15,dtereshchuk@example.org
Масоха,Орест,Петрович,male,2000-08-26,Електрослюсар,місто Корюківка,"провулок Дніпропетровська дорога, буд. 55 кв. 5, Кам'янка-Дніпровська, 81939",+380 66 683 43 99,eduardvermenych@example.net
Ващук,Зорян,Миколайович,male,2002-05-26,Правник,хутір Вознесенськ,"узвіз Мирна, буд. 324, Рівне, 05983",+380 49 242-97-46,panas41@example.org
Гайда,Валентин,Ульянович,male,2005-05-27,Пекар,хутір Великі Мости,"провулок Круговий, буд. 217 кв. 2, Миколаїв, 32443",+380 71 804 77 63,zorian60@example.com
Байрак,Камілла,Русланівна,female,1966-08-16,Кіноактор,село Шепетівка,"вулиця Віктора Скаржинського узвіз, буд. 700 кв. 276, Жашків, 70122",+380 29 409 03 28,barannykarsen@example.org
Павленко,Юстина,Зіновіївна,female,1944-06-11,Флорист,місто Городенка,"узвіз Водний, буд. 2, Красилів, 42932",+380 60 307-40-91,sviatoslavrubets@example.com
Бебешко,Тетяна,Геннадіївна,female,1964-11-21,Правник,хутір Белз,"проспект Берегова, буд. 411 кв. 39, Макіївка, 02981",+380 20 925 58 97,martyn99@example.com
Цимбал,Еріка,Сергіївна,female,1976-09-12,Продюсер,місто Соснівка,"вулиця Володимира Вінниченка, буд. 304, Нетішин, 79979",055 210 27 08,ostap84@example.net
Сич,Ада,Володимирівна,female,1964-05-01,Фотограф,місто Ялта,"сквер 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 3, Звенигородка, 73369",080 01 65,roksolanaiarosh@example.org
Ющенко,Григорій,Володимирович,male,1985-08-09,Археолог,селище Київ,"набережна Юрія Асєєва, буд. 9 кв. 00, Теребовля, 20014",041 214-49-16,klavdiia54@example.net
Ґерета,Роман,Тарасович,male,1955-11-18,Футболіст,місто Тульчин,"узвіз Кипарисний 3-й, буд. 19, Балта, 77819",238-03-65,ielysavetabatih@example.net
Шеремета,Соломон,Миколайович,male,1980-09-20,Дипломат,місто Бунге,"шосе Пересипська 1-ша, буд. 285 кв. 27, Чигирин, 63486",+380 92 564-35-84,havrylo03@example.com
Кальченко,Панас,Геннадійович,male,1945-02-26,Локсмайстер,місто Гайворон,"проспект Шкільний аеродром, буд. 4 кв. 737, Багачеве, 49746",788 00 94,priska68@example.com
Забіла,Охрім,Геннадійович,male,1993-01-30,Фармацевт,місто Гребінка,"площа Строганов міст, буд. 59 кв. 92, Сімферополь, 72785",717 15 64,adam60@example.org
Царенко,Валерій,Тарасович,male,1941-06-10,Фармацевт,хутір Житомир,"сквер Павлодарська, буд. 473, Сіверськодонецьк, 96945",+380 13 360-40-78,myron17@example.net
Гречаник,Августин,Миколайович,male,2002-03-17,Дизайнер,село Сторожинець,"парк Глиняна, буд. 78 кв. 5, Путивль, 03824",+380 (34) 716-60-74,svysochan@example.net
Вишняк,Костянтин,Миколайович,male,1979-08-27,Реабілітолог,місто Любомль,"проспект Лінія 38-ма, буд. 4 кв. 66, Ізяслав, 36965",+380 20 861-11-34,liliia37@example.net
Захаренко,Ганна,Геннадіївна,female,1987-02-23,Редактор,селище Шепетівка,"набережна Ялинкова, буд. 194 кв. 2, Овруч, 50729",+380 (95) 640-78-43,panchukdanna@example.net
Гречаник,Станіслав,Анатолійович,male,1967-10-14,Правник,село Кагарлик,"провулок Церковна, буд. 51, Козятин, 12449",098 797-65-07,lemeshkoorest@example.com
Шевченко,Феофан,Артемович,male,1966-02-21,Євнух,місто Золотоноша,"площа Деревообробний 4-й, буд. 592 кв. 9, Кобеляки, 12312",023 532 96 78,nazarbhydenko@example.com
Шило,Христина,Дмитрівна,female,1943-08-05,Ґрунтознавець,хутір Сватове,"сквер 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 703, Золотоноша, 43292",099 065 66 03,ielysaveta48@example.com
Авраменко,Лесь,Борисович,male,1956-06-25,Акушер,місто Соснівка,"вулиця Гонтаренко, буд. 84, Кіцмань, 15545",+380 97 693-52-66,andriienkokhoma@example.net
Михалюк,Олесь,Ігоревич,male,1970-07-22,Локсмайстер,місто Армянськ,"парк Симфонічна, буд. 945 кв. 27, Хирів, 42004",+380 (57) 781-17-83,vasylechkoiukhym@example.com
Парасюк,Дмитро,Миколайович,male,1952-01-01,Паблік рилейшнз,хутір Гнівань,"сквер Ігоря Бедзая, буд. 74, Тетіїв, 81676",584 27 97,slutsenko@example.net
Юхименко,Емілія,Миколаївна,female,1988-08-18,Науковець,село Харків,"сквер Литавровий, буд. 8 кв. 26, П'ятихатки, 20210",950 73 94,azar46@example.net
Безбородько,Симон,Петрович,male,1994-12-24,Кінолог,селище Чигирин,"шосе Мала, буд. 07 кв. 28, Кременчук, 74049",831-71-40,derehusihnat@example.net
Шморгун,Михайло,Русланович,male,1973-10-15,Інженер,місто Вільнянськ,"площа Чорноморський 1-й, буд. 407, Богодухів, 30313",004 462 45 39,tymofiiieroshenko@example.com
